Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.05,-.02,-.14,-.25,-.18,.06,-.06,-.16,-.01,.05,-.05,***,***,-.04,-.12,-.07
1881,-.09,-.07,.09,.09,.08,-.06,-.09,-.03,-.05,-.02,-.01,.09,-.01,-.01,-.04,.08,-.06,-.03
1882,.06,.07,.06,-.02,-.05,-.16,-.05,.00,-.06,.02,-.02,-.08,-.02,.00,.07,.00,-.07,-.02
1883,-.03,-.09,-.10,-.08,-.11,-.03,-.10,-.06,-.12,-.07,-.05,-.06,-.07,-.07,-.06,-.10,-.06,-.08
1884,-.09,-.06,-.10,-.22,-.32,-.30,-.22,-.07,-.12,-.07,-.11,-.16,-.15,-.15,-.07,-.22,-.20,-.10
1885,-.20,-.23,-.30,-.36,-.34,-.43,-.34,-.23,-.20,-.14,-.12,-.10,-.25,-.25,-.20,-.33,-.33,-.15
1886,-.15,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.16,-.25,-.15,-.29,-.21,-.19,-.15,-.18,-.25,-.19
1887,-.37,-.44,-.28,-.31,-.36,-.28,-.28,-.17,-.31,-.23,-.25,-.23,-.29,-.30,-.37,-.32,-.24,-.26
1888,-.21,-.14,-.22,-.20,-.30,-.32,-.22,-.11,-.06,.05,.06,.14,-.13,-.16,-.19,-.24,-.22,.02
1889,.08,.02,.12,.02,.01,-.14,-.08,-.20,-.18,-.11,-.06,-.04,-.05,-.03,.08,.05,-.14,-.12
1890,-.21,-.33,-.34,-.35,-.44,-.34,-.33,-.39,-.39,-.41,-.25,-.17,-.33,-.32,-.19,-.38,-.36,-.35
1891,-.21,-.26,-.21,-.20,-.18,-.29,-.24,-.22,-.25,-.17,-.11,-.06,-.20,-.21,-.21,-.20,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.24,-.39,-.27,-.22,-.14,-.02,-.03,-.12,-.16,-.16,-.07,-.20,-.29,-.06
1893,-.13,-.18,-.13,-.25,-.25,-.33,-.15,-.18,-.18,-.10,-.04,-.04,-.16,-.17,-.14,-.21,-.22,-.11
1894,-.15,-.16,-.25,-.36,-.36,-.41,-.28,-.21,-.24,-.19,-.04,-.08,-.23,-.22,-.12,-.32,-.30,-.16
1895,-.13,-.06,-.17,-.25,-.25,-.22,-.16,-.07,-.19,-.13,-.21,-.06,-.16,-.16,-.09,-.22,-.15,-.18
1896,-.09,-.08,-.05,-.02,-.16,-.30,-.06,.00,-.04,.07,.11,.11,-.04,-.06,-.08,-.08,-.12,.05
1897,.08,.06,.11,-.01,-.18,-.18,-.10,-.13,-.12,-.12,-.11,-.13,-.07,-.05,.09,-.03,-.14,-.11
1898,-.11,-.17,-.24,-.35,-.35,-.31,-.34,-.37,-.27,-.34,-.27,-.22,-.28,-.27,-.14,-.31,-.34,-.29
1899,-.21,-.14,-.15,-.18,-.24,-.28,-.17,-.12,-.06,-.13,-.10,-.07,-.16,-.17,-.19,-.19,-.19,-.10
1900,-.11,.01,-.06,-.09,-.15,-.11,-.14,-.10,-.09,-.03,-.01,-.11,-.08,-.08,-.06,-.10,-.12,-.04
1901,-.12,-.14,-.16,-.16,-.20,-.26,-.31,-.25,-.19,-.28,-.14,-.16,-.20,-.19,-.12,-.17,-.27,-.20
1902,-.20,-.16,-.19,-.19,-.27,-.24,-.24,-.32,-.26,-.29,-.27,-.24,-.24,-.23,-.17,-.21,-.27,-.27
1903,-.25,-.24,-.31,-.37,-.38,-.40,-.29,-.37,-.52,-.50,-.45,-.48,-.38,-.36,-.24,-.35,-.36,-.49
1904,-.53,-.58,-.58,-.52,-.62,-.50,-.45,-.45,-.50,-.41,-.28,-.33,-.48,-.49,-.53,-.57,-.47,-.40
1905,-.29,-.37,-.22,-.22,-.31,-.28,-.32,-.18,-.20,-.23,-.22,-.09,-.24,-.26,-.33,-.25,-.26,-.22
1906,.00,-.06,-.18,-.16,-.29,-.30,-.21,-.25,-.34,-.25,-.36,-.35,-.23,-.21,-.05,-.21,-.25,-.32
1907,-.29,-.31,-.26,-.30,-.36,-.34,-.32,-.31,-.31,-.28,-.38,-.36,-.32,-.32,-.32,-.31,-.32,-.32
1908,-.36,-.40,-.41,-.42,-.48,-.48,-.37,-.37,-.43,-.45,-.43,-.45,-.42,-.41,-.37,-.44,-.41,-.44
1909,-.52,-.48,-.43,-.54,-.61,-.53,-.47,-.34,-.43,-.48,-.54,-.57,-.49,-.48,-.48,-.52,-.45,-.48
1910,-.51,-.46,-.53,-.45,-.40,-.34,-.33,-.35,-.37,-.52,-.54,-.54,-.44,-.45,-.51,-.46,-.34,-.48
1911,-.54,-.56,-.59,-.62,-.59,-.67,-.48,-.46,-.45,-.35,-.23,-.12,-.47,-.51,-.55,-.60,-.54,-.34
1912,-.15,-.13,-.15,-.19,-.30,-.33,-.33,-.31,-.36,-.31,-.26,-.30,-.26,-.25,-.13,-.22,-.33,-.31
1913,-.25,-.26,-.39,-.30,-.34,-.41,-.22,-.21,-.28,-.26,-.25,-.16,-.28,-.29,-.27,-.34,-.28,-.27
1914,-.08,-.10,-.13,-.21,-.24,-.29,-.15,-.07,-.05,-.07,-.09,-.03,-.13,-.14,-.11,-.19,-.17,-.07
1915,-.14,.01,.03,.05,-.11,-.31,-.15,-.28,-.21,-.23,-.24,-.19,-.15,-.13,-.05,-.01,-.25,-.22
1916,-.17,-.14,-.19,-.28,-.35,-.49,-.42,-.21,-.25,-.33,-.49,-.53,-.32,-.29,-.17,-.27,-.37,-.36
1917,-.64,-.60,-.54,-.48,-.40,-.40,-.21,-.07,-.18,-.29,-.37,-.31,-.37,-.39,-.59,-.47,-.23,-.28
1918,-.28,-.25,-.27,-.31,-.39,-.30,-.30,-.28,-.11,-.08,.01,-.01,-.21,-.24,-.28,-.32,-.29,-.06
1919,-.02,-.06,-.04,-.03,-.15,-.33,-.27,-.39,-.34,-.33,-.36,-.30,-.22,-.19,-.03,-.07,-.33,-.34
1920,-.35,-.25,-.26,-.29,-.34,-.46,-.36,-.22,-.10,-.15,-.10,-.22,-.26,-.26,-.30,-.30,-.35,-.11
1921,-.29,-.29,-.38,-.45,-.37,-.40,-.28,-.23,-.21,-.06,-.18,-.23,-.28,-.28,-.27,-.40,-.30,-.15
1922,-.29,-.27,-.20,-.31,-.49,-.47,-.29,-.31,-.31,-.35,-.18,-.25,-.31,-.31,-.26,-.33,-.36,-.28
1923,-.38,-.33,-.30,-.30,-.30,-.35,-.34,-.39,-.45,-.33,-.20,-.18,-.32,-.33,-.32,-.30,-.36,-.33
1924,-.17,-.25,-.20,-.34,-.31,-.34,-.36,-.46,-.43,-.48,-.53,-.51,-.37,-.34,-.20,-.28,-.39,-.48
1925,-.51,-.44,-.34,-.36,-.37,-.39,-.28,-.21,-.35,-.26,-.12,-.09,-.31,-.34,-.49,-.36,-.29,-.24
1926,-.11,-.13,-.16,-.12,-.23,-.30,-.34,-.20,-.25,-.29,-.29,-.29,-.23,-.21,-.11,-.17,-.28,-.28
1927,-.26,-.28,-.31,-.35,-.39,-.41,-.31,-.32,-.28,-.26,-.20,-.27,-.30,-.31,-.28,-.35,-.35,-.25
1928,-.30,-.27,-.27,-.25,-.43,-.44,-.29,-.27,-.28,-.31,-.24,-.30,-.30,-.30,-.28,-.31,-.34,-.28
1929,-.34,-.37,-.47,-.48,-.49,-.48,-.39,-.44,-.31,-.28,-.19,-.42,-.39,-.38,-.34,-.48,-.44,-.26
1930,-.48,-.35,-.34,-.34,-.29,-.32,-.38,-.31,-.29,-.25,-.08,-.18,-.30,-.32,-.42,-.32,-.34,-.21
1931,-.19,-.16,-.13,-.24,-.23,-.29,-.15,-.16,-.30,-.26,-.36,-.21,-.22,-.22,-.18,-.20,-.20,-.31
1932,-.10,-.16,-.16,-.21,-.26,-.42,-.35,-.35,-.32,-.32,-.22,-.31,-.27,-.26,-.16,-.21,-.37,-.29
1933,-.27,-.28,-.28,-.32,-.33,-.38,-.31,-.34,-.32,-.34,-.39,-.37,-.33,-.32,-.29,-.31,-.34,-.35
1934,-.31,-.41,-.34,-.34,-.28,-.29,-.19,-.16,-.18,-.27,-.21,-.23,-.27,-.28,-.36,-.32,-.21,-.22
1935,-.27,-.31,-.33,-.39,-.30,-.39,-.39,-.37,-.36,-.23,-.20,-.17,-.31,-.32,-.27,-.34,-.39,-.26
1936,-.26,-.25,-.30,-.34,-.33,-.48,-.30,-.29,-.26,-.14,-.13,-.19,-.27,-.27,-.23,-.32,-.35,-.18
1937,-.25,-.19,-.19,-.25,-.24,-.25,-.22,-.12,-.12,-.17,-.08,-.15,-.19,-.19,-.21,-.23,-.20,-.12
1938,-.20,-.22,-.17,-.21,-.24,-.29,-.19,-.22,-.17,-.06,-.19,-.15,-.19,-.19,-.19,-.21,-.23,-.14
1939,-.16,-.14,-.13,-.14,-.12,-.15,-.16,-.20,-.28,-.16,-.11,.08,-.14,-.16,-.15,-.13,-.17,-.18
1940,.11,.02,.15,.08,.05,.06,.08,.08,.06,-.04,.05,.28,.08,.07,.07,.09,.07,.02
1941,.20,.16,.09,.22,.13,.07,.20,.13,-.04,.21,.29,.25,.16,.16,.21,.15,.13,.15
1942,.18,.13,.11,.09,.05,-.01,.00,.00,-.18,-.27,-.09,-.05,.00,.02,.19,.08,.00,-.18
1943,.06,-.06,-.09,-.11,-.11,-.05,.17,-.09,-.04,-.01,.03,.07,-.02,-.03,-.01,-.10,.01,-.01
1944,.08,.04,.20,.20,.13,.16,.22,.21,.19,.07,.02,.08,.13,.13,.06,.18,.20,.10
1945,.09,.07,.02,.09,.03,-.06,.01,.24,.21,.12,.07,.08,.08,.08,.08,.05,.07,.13
1946,-.04,-.04,-.10,-.21,-.17,-.38,-.22,-.32,-.14,-.19,-.18,-.16,-.18,-.16,.00,-.16,-.31,-.17
1947,-.09,-.12,-.17,-.11,-.10,-.04,-.06,-.10,-.25,-.27,-.15,-.23,-.14,-.14,-.12,-.13,-.07,-.23
1948,-.18,-.15,-.22,-.21,-.19,-.16,-.24,-.26,-.28,-.20,-.29,-.09,-.21,-.22,-.19,-.20,-.22,-.25
1949,-.10,-.20,-.09,-.20,-.21,-.35,-.16,-.21,-.20,-.21,-.26,-.23,-.20,-.19,-.13,-.17,-.24,-.22
1950,-.24,-.27,-.22,-.21,-.20,-.06,-.01,-.13,-.16,-.36,-.35,-.32,-.21,-.20,-.25,-.21,-.07,-.29
1951,-.34,-.32,-.23,-.36,-.19,-.12,-.10,-.11,-.22,-.12,-.09,-.06,-.19,-.21,-.33,-.26,-.11,-.14
